species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Skin,Skin,UBERON_0002097,Head And Neck Squamous Cell Carcinoma,Cancer cell,Effector CD8+ T cell,CL_0001050,CD3,
Human,Skin,Skin,UBERON_0002097,Head And Neck Squamous Cell Carcinoma,Cancer cell,Effector CD8+ T cell,CL_0001050,CD45RA,
Human,Skin,Skin,UBERON_0002097,Head And Neck Squamous Cell Carcinoma,Cancer cell,Effector CD8+ T cell,CL_0001050,CD8,CD8A
