broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,CD4,CD4,Human,Blood,Peripheral blood,Non-small Cell Lung Cancer,Cancer cell,CD4 T cell
T cell,,CD3E,Human,Blood,Peripheral blood,Non-small Cell Lung Cancer,Cancer cell,CD4 T cell
