broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Dendritic cell,,HLA-DRA,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Dendritic cell
Dendritic cell,,HLA-DPB1,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Dendritic cell
Dendritic cell,,CD1C,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Dendritic cell
Dendritic cell,,NRP1,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Dendritic cell
Dendritic cell,,HLA-DPA1,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Dendritic cell
Dendritic cell,,ITGAX,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,Dendritic cell
