broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,TIM-1+,CD38,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,TIM-1+ Regulatory B cell
B cell,Regulatory,CD38,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,TIM-1+ Regulatory B cell
B cell,Regulatory,CD5,Human,Liver,Liver,Hepatocellular Cancer,Cancer cell,TIM-1+ Regulatory B cell
