broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Erythroblast,,GYPA,Human,Liver,Fetal liver,Normal,Normal cell,Erythroblast
Erythroblast,,CD71,Human,Liver,Fetal liver,Normal,Normal cell,Erythroblast
Erythroblast,,TFRC,Human,Liver,Fetal liver,Normal,Normal cell,Erythroblast
