broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Fibroblast,,COL1A1,Human,Lung,Bronchial vessel,Normal,Normal cell,Fibroblast
Fibroblast,,PDGFRA,Human,Lung,Bronchial vessel,Normal,Normal cell,Fibroblast
