species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Naive CD4 T cell,,LTB,LTB
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Naive CD4 T cell,,CD4,CD4
