species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Sézary syndrome,Cancer cell,Sézary cell,,CD7,CD7
Human,Blood,Blood,UBERON_0000178,Sézary syndrome,Cancer cell,Sézary cell,,CD26,DPP4
