broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Peripheral blood mononuclear cell,,CD4,Human,Blood,Peripheral blood,Normal,Normal cell,Peripheral blood mononuclear cell (PBMC)
Peripheral blood mononuclear cell,,CD11c,Human,Blood,Peripheral blood,Normal,Normal cell,Peripheral blood mononuclear cell (PBMC)
Peripheral blood mononuclear cell,,CD19,Human,Blood,Peripheral blood,Normal,Normal cell,Peripheral blood mononuclear cell (PBMC)
