broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Central memory,CCR7,Human,Blood,Blood,Normal,Normal cell,Central memory T cell
T cell,Central memory,CD45RO,Human,Blood,Blood,Normal,Normal cell,Central memory T cell
T cell,Central memory,CD127,Human,Blood,Blood,Normal,Normal cell,Central memory T cell
T cell,Central memory,IL7R,Human,Blood,Blood,Normal,Normal cell,Central memory T cell
T cell,CD4+,CD4,Human,Blood,Blood,Normal,Normal cell,Central memory T cell
