broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Neural crest-derived cell,,MAFB,Human,Undefined,Undefined,Normal,Normal cell,Neural crest-derived cell
Neural crest-derived cell,,MSX1,Human,Undefined,Undefined,Normal,Normal cell,Neural crest-derived cell
