broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,CD8+,STMN1,Human,Arthrosis,Arthrosis,Normal,Cancer cell,CD8+ T cell
T cell,,MKI67,Human,Arthrosis,Arthrosis,Normal,Cancer cell,CD8+ T cell
