broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Microglial cell,,GM10275,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CHCHD5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ZNF696,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM6316,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,AC134452.1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM13570,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GPR65,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,HIF1A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SULF2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PLIN2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ACACA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TIMP2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS10,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS18,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GSTM5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS19-PS3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM5963,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,COLEC12,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TPT1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM4604,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM6286,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ACD,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL37,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM6136,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,DPYS,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SMAD7,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS20,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LRPAP1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CBX6,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM11361,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM12005,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FCER1G,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL14-PS1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPLP2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM11953,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ZNF703,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM2574,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PDCD1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PLAUR,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,A1BG,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ADAM8,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TLN2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,IFI27L2B,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS16,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,NCEH1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM13532,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,EEF1A1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LGALS3BP,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ETL4,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL23,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ATP1A3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LOX,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CTBP1-AS,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,AQP6,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LPL,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS19-PS11,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM8129,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TTYH3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS15,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS12,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS9,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CTSZ,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS21,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CD34,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM5559,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RFTN1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS26,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS27A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CH25H,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,S100A4,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,EMP2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SECTM1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LYZ2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LOC102724661,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ASTN1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ARSA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ATP6V0C,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM2000,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SPP1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM3511,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PKM2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS13-PS1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FAM109A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TMEM90A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,4930556M19RIK,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,HIST2H2BA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ZFP618,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PGK1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,HEXA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10154,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL13A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS28,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM12334,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ECM1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ATP1B3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CHST2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL37A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MAMDC2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MPEG1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SLC11A1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CXCL14,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM6863,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,BAIAP2L2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,2810422J05RIK,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MYO5A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,NDUFA1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PGAM1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SERPINE2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS24,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TNFSF8,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CD9,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SMIM3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PTPRG,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LOC100133445,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SCPEP1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,DPYD,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,EEF1B2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,KCNJ5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ITGAX,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ATOX1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,5430435G22RIK,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,EPHX1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL32,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SH3PXD2B,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL39,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM8759,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM17682,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10116,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MYO1E,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PDCD6IPP2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS14,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LOC1027255328,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LOC102724549,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FABP3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL18A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,IL4I1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FABP5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SDF4,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TGFBI,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,DNAJB14,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GNAS,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,NIACR1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GAS2L1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ANKRD26P3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ZBTB8B,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS15A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ADAMTS13,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM15430,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM8730,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PTPRZ1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CTSA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM13196,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FBRSL1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TSHZ3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PSTPIP1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LOC100507639,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,KCNJ2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,LDHA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,KCNMA1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,INF2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ZNF843,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GLT1D1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10059,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPLP0,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,NDUFA6,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM5805,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TM9SF1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CTSL,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS4X,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SERPINF1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM13456,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ZNF532,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SLC38A7,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,IGF1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SYNGR1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PTCHD1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CCL4,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,IGSF10,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL35A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,AL663027.1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,NIN,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM13340,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FTH1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GPR84,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FLT1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CSF2RA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RUNX3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10186,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CCK,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CAPG,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TSPO,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PLD3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FAM46C,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,IL15,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPSA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CD83,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,COX8A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CLEC7A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL9-PS6,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,AC119211.1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM11410,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM9000,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10288,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10073,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPLP1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ADSSL1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PEBP1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,H2-K1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM11428,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MOV10L1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPSA-PS10,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CTSD,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CTSB,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM15427,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,STEAP3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TMED3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM13341,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,APBB2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FAM20C,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,DKK2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PERP,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GAS2L3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ANK,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,USP12,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ATP6V0D2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CSF1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL38,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL10A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MMU-MIR-703,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS3A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,H2-D1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10269,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ZNF662,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CSTB,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL14,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM11263,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CD5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM14328,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL10A-PS1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SDF2L1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,NRP1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ARRDC4,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM13047,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPL22,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM4149,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CD63-PS,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM7363,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FXYD6,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PRDX1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MEIS1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,RPS2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,GM10136,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,IL18BP,Human,Brain,Brain,Normal,Normal cell,Microglial cell
