broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Plasma cell,,IGHM,Human,Brain,Brain,Normal,Normal cell,Plasma cell
Plasma cell,,CD38,Human,Brain,Brain,Normal,Normal cell,Plasma cell
Plasma cell,,IGHG1,Human,Brain,Brain,Normal,Normal cell,Plasma cell
Plasma cell,,IGHA,Human,Brain,Brain,Normal,Normal cell,Plasma cell
