broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Neural progenitor cell,,EMX1,Human,Brain,Dorsal forebrain,Normal,Normal cell,Neural progenitor cell
Neural progenitor cell,,SOX2,Human,Brain,Dorsal forebrain,Normal,Normal cell,Neural progenitor cell
