species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Breast,Milk,,Normal,Normal cell,Fibroblast,CL_0000057,SERPINH1,SERPINH1
Human,Breast,Milk,,Normal,Normal cell,Fibroblast,CL_0000057,PTN,PTN
