species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Anterior hindbrain cell,,GBX2,GBX2
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Anterior hindbrain cell,,IRX3,IRX3
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Anterior hindbrain cell,,HOXA2,HOXA2
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Anterior hindbrain cell,,HOXB2,HOXB2
