species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Hematopoietic cell,CL_0000988,CD133,PROM1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Hematopoietic cell,CL_0000988,CD34,CD34
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Hematopoietic cell,CL_0000988,CD45,PTPRC
