species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Intestine,Large Intestine,UBERON_0000059,Colorectal Cancer,Cancer cell,T cell,CL_0000084,CD45RO,
Human,Intestine,Large Intestine,UBERON_0000059,Colorectal Cancer,Cancer cell,T cell,CL_0000084,CD127,IL7R
Human,Intestine,Large Intestine,UBERON_0000059,Colorectal Cancer,Cancer cell,T cell,CL_0000084,CD3,
