species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Cytotoxic CD8 T cell,,CD8A,CD8A
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Cytotoxic CD8 T cell,,CCL5,CCL5
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Cytotoxic CD8 T cell,,CD2,CD2
Human,Brain,Brain,UBERON_0000955,Normal,Normal cell,Cytotoxic CD8 T cell,,SKAP,KNSTRN
