broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal cell,,ITGB5,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,VIM,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,LEF1,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ZEB1,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Fn1,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,SNAI2,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Cdh2,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CADH2,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CDH2,Human,Lung,Lung,Lung Cancer,Cancer cell,Mesenchymal cell
