broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Myeloid dendritic cell,,CD1C,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Myeloid dendritic cell
Myeloid dendritic cell,,CLEC9A,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Myeloid dendritic cell
Myeloid dendritic cell,,FCER1A,Human,Lung,Lung,Lung Adenocarcinoma,Cancer cell,Myeloid dendritic cell
