broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,SLAMF1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TEK,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,THBD,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGFA,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,S1PR4,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,S1PR2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,SCO2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CLEC4M,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PROCR,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,LYVE1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,S1PR5,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,AGGF1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PLXDC1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ANTXR1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ENTPD1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
