broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Stromal cell,,vimentin,Human,Intestine,Colorectum,Colorectal Cancer,Cancer cell,Stromal cell
Stromal cell,,DCN,Human,Intestine,Colorectum,Colorectal Cancer,Cancer cell,Stromal cell
