broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Frontal cortex cell,,SEMA3E,Human,Embryo,Frontal cortex,Normal,Normal cell,Frontal cortex cell
Frontal cortex cell,,GRP,Human,Embryo,Frontal cortex,Normal,Normal cell,Frontal cortex cell
